dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.051987,5.450116,2.684096,2.153568,0.662290,1.074857,1.233682
0.020000,2.066549,5.490942,2.727442,2.167275,0.685331,1.152042,1.222530
0.020000,2.081683,5.531863,2.771071,2.181470,0.709772,1.222081,1.210431
0.020000,2.097437,5.572864,2.814995,2.196178,0.735421,1.282415,1.197352
0.020000,2.113859,5.613930,2.859223,2.211419,0.762020,1.329944,1.183255
0.020000,2.131002,5.655044,2.903767,2.227208,0.789438,1.370937,1.168107
0.020000,2.148918,5.696183,2.948638,2.243564,0.817812,1.418688,1.151868
0.020000,2.167662,5.737323,2.993847,2.260445,0.844072,1.312978,1.134503
0.020000,2.187292,5.778434,3.039404,2.277849,0.870183,1.305589,1.115978
0.020000,2.207864,5.819482,3.085319,2.295755,0.895330,1.257349,1.096258
0.020000,2.229438,5.860429,3.131602,2.314113,0.917897,1.128339,1.075314
0.020000,2.252072,5.901227,3.178258,2.332801,0.934373,0.823812,1.053124
0.020000,2.275704,5.941631,3.225065,2.340357,0.377786,-27.829399,1.029784
0.020000,2.300122,5.981187,3.271551,2.324310,-0.802309,-59.004713,1.005556
0.020000,2.325186,6.019642,3.317452,2.295064,-1.462346,-33.001857,0.980631
0.020000,2.350861,6.056943,3.362736,2.264182,-1.544057,-4.085571,0.955098
0.020000,2.377111,6.093047,3.407374,2.231905,-1.613844,-3.489339,0.929050
0.020000,2.403888,6.127914,3.451337,2.198123,-1.689140,-3.764784,0.902587
0.020000,2.431138,6.161506,3.494592,2.162755,-1.768366,-3.961330,0.875816
0.020000,2.458800,6.193791,3.537107,2.125743,-1.850598,-4.111592,0.848845
0.020000,2.486804,6.224744,3.578848,2.087049,-1.934743,-4.207254,0.821787
0.020000,2.515078,6.254344,3.619781,2.046674,-2.018742,-4.199950,0.794755
0.020000,2.543542,6.282578,3.659874,2.004637,-2.101812,-4.153490,0.767858
0.020000,2.572117,6.309443,3.699094,1.961006,-2.181557,-3.987239,0.741204
0.020000,2.600720,6.334940,3.737411,1.915861,-2.257254,-3.784836,0.714892
0.020000,2.629267,6.359081,3.774797,1.869316,-2.327269,-3.500783,0.689017
0.020000,2.657677,6.381885,3.811227,1.821489,-2.391348,-3.203954,0.663665
0.020000,2.685871,6.403375,3.846678,1.772550,-2.446924,-2.778770,0.638909
0.020000,2.713772,6.423585,3.881129,1.722541,-2.500475,-2.677539,0.614819
0.020000,2.741308,6.442550,3.914564,1.671770,-2.538534,-1.902973,0.591448
0.020000,2.768412,6.460313,3.946970,1.620287,-2.574145,-1.780537,0.568843
0.020000,2.795021,6.476919,3.978336,1.568276,-2.600590,-1.322250,0.547040
0.020000,2.821077,6.492415,4.008652,1.515796,-2.623974,-1.169237,0.526067
0.020000,2.846529,6.506853,4.037914,1.463110,-2.634281,-0.515325,0.505943
0.020000,2.871330,6.520283,4.066118,1.410186,-2.646241,-0.598005,0.486679
0.020000,2.895438,6.532757,4.093261,1.357167,-2.650955,-0.235703,0.468282
0.020000,2.918816,6.544325,4.119345,1.304200,-2.648314,0.132046,0.450750
0.020000,2.941433,6.555039,4.144372,1.251331,-2.643449,0.243250,0.434078
0.020000,2.963261,6.564948,4.168343,1.198591,-2.637016,0.321669,0.418256
0.020000,2.984274,6.574100,4.191263,1.145973,-2.630875,0.307044,0.403274
0.020000,3.004451,6.582540,4.213134,1.093575,-2.619909,0.548278,0.389116
0.020000,3.023777,6.590313,4.233964,1.041492,-2.604145,0.788208,0.375765
0.020000,3.042235,6.597461,4.253758,0.989685,-2.590364,0.689059,0.363203
0.020000,3.059813,6.604024,4.272521,0.938157,-2.576395,0.698430,0.351411
0.020000,3.076499,6.610037,4.290258,0.886844,-2.565668,0.536364,0.340372
0.020000,3.092285,6.615536,4.306974,0.835811,-2.551625,0.702164,0.330065
0.020000,3.107164,6.620554,4.322676,0.785114,-2.534877,0.837403,0.320472
0.020000,3.121132,6.625121,4.337372,0.734797,-2.515821,0.952770,0.311572
0.020000,3.134180,6.629264,4.351063,0.684514,-2.514170,0.082558,0.303352
0.020000,3.146308,6.633010,4.363756,0.634652,-2.493113,1.052847,0.295790
0.020000,3.157512,6.636382,4.375456,0.585008,-2.482165,0.547419,0.288873
0.020000,3.167790,6.639401,4.386168,0.535608,-2.470034,0.606548,0.282585
0.020000,3.177138,6.642087,4.395894,0.486313,-2.464727,0.265348,0.276912
0.020000,3.185557,6.644456,4.404641,0.437318,-2.449766,0.748036,0.271842
0.020000,3.193045,6.646525,4.412409,0.388408,-2.445472,0.214706,0.267363
0.020000,3.199602,6.648308,4.419203,0.339737,-2.433568,0.595190,0.263464
0.020000,3.205226,6.649815,4.425027,0.291160,-2.428869,0.234987,0.260136
0.020000,3.209919,6.651057,4.429881,0.242713,-2.422321,0.327365,0.257373
0.020000,3.213681,6.652043,4.433770,0.194429,-2.414205,0.405835,0.255165
0.020000,3.216506,6.652777,4.436689,0.145981,-2.422386,-0.409052,0.253512
0.020000,3.218402,6.653267,4.438647,0.097880,-2.405087,0.864929,0.252405
0.020000,3.219364,6.653515,4.439641,0.049712,-2.408383,-0.164785,0.251843
0.020000,3.219620,6.653581,4.439905,0.013184,-1.826404,29.098918,0.251694
0.020000,3.219627,6.653583,4.439912,0.000377,-0.640347,59.302861,0.251690
0.020000,3.219627,6.653583,4.439912,0.000000,-0.018849,31.074914,0.251690
