dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.840129,3.343165,2.158420,1.991810,-0.130248,-0.003208,6.073430
0.020000,2.879044,3.334894,2.198204,1.989203,-0.130346,-0.004865,6.074150
0.020000,2.917914,3.326666,2.237936,1.986594,-0.130471,-0.006259,6.075044
0.020000,2.956742,3.318487,2.277616,1.983981,-0.130625,-0.007688,6.076112
0.020000,2.995527,3.310363,2.317243,1.981365,-0.130806,-0.009072,6.077354
0.020000,3.034273,3.302302,2.356818,1.978745,-0.131014,-0.010403,6.078771
0.020000,3.072978,3.294309,2.396341,1.976120,-0.131248,-0.011671,6.080363
0.020000,3.111646,3.286392,2.435810,1.973490,-0.131505,-0.012867,6.082130
0.020000,3.150277,3.278557,2.475227,1.970854,-0.131785,-0.013983,6.084073
0.020000,3.188871,3.270811,2.514592,1.968212,-0.132085,-0.015007,6.086192
0.020000,3.227431,3.263161,2.553903,1.965564,-0.132403,-0.015931,6.088488
0.020000,3.265957,3.255613,2.593161,1.962909,-0.132738,-0.016744,6.090961
0.020000,3.304449,3.248173,2.632366,1.960248,-0.133087,-0.017436,6.093611
0.020000,3.342910,3.240849,2.671518,1.957579,-0.133445,-0.017915,6.096439
0.020000,3.381339,3.233647,2.710616,1.954903,-0.133790,-0.017219,6.099445
0.020000,3.419737,3.226574,2.749660,1.952219,-0.134189,-0.019953,6.102631
0.020000,3.458105,3.219637,2.788651,1.949528,-0.134565,-0.018797,6.105996
0.020000,3.496444,3.212841,2.827587,1.946829,-0.134939,-0.018713,6.109540
0.020000,3.534754,3.206194,2.866470,1.944123,-0.135308,-0.018438,6.113265
0.020000,3.573036,3.199702,2.905298,1.941410,-0.135667,-0.017959,6.117171
0.020000,3.611290,3.193372,2.944072,1.938689,-0.136012,-0.017263,6.121258
0.020000,3.649516,3.187211,2.982791,1.935963,-0.136339,-0.016338,6.125528
0.020000,3.687714,3.181224,3.021455,1.933230,-0.136642,-0.015170,6.129979
0.020000,3.725885,3.175420,3.060065,1.930491,-0.136917,-0.013746,6.134613
0.020000,3.764029,3.169804,3.098620,1.927748,-0.137158,-0.012053,6.139429
0.020000,3.802145,3.164383,3.137120,1.925001,-0.137360,-0.010079,6.144429
0.020000,3.840234,3.159164,3.175565,1.922251,-0.137516,-0.007811,6.149612
0.020000,3.878296,3.154153,3.213955,1.919498,-0.137621,-0.005235,6.154979
0.020000,3.916330,3.149356,3.252290,1.916745,-0.137668,-0.002342,6.160529
0.020000,3.954335,3.144781,3.290570,1.913992,-0.137650,0.000882,6.166263
0.020000,3.992312,3.140434,3.328795,1.911241,-0.137561,0.004445,6.172180
0.020000,4.030259,3.136321,3.366965,1.908493,-0.137394,0.008357,6.178280
0.020000,4.068177,3.132448,3.405080,1.905750,-0.137141,0.012627,6.184563
0.020000,4.106064,3.128822,3.443140,1.903014,-0.136796,0.017260,6.191029
0.020000,4.143920,3.125450,3.481146,1.900287,-0.136351,0.022263,6.197676
0.020000,4.181744,3.122337,3.519097,1.897571,-0.135798,0.027638,6.204504
0.020000,4.219534,3.119490,3.556995,1.894869,-0.135131,0.033387,6.211513
0.020000,4.257290,3.116915,3.594838,1.892182,-0.134340,0.039509,6.218700
0.020000,4.295010,3.114618,3.632628,1.889513,-0.133420,0.046001,6.226066
0.020000,4.332694,3.112606,3.670366,1.886866,-0.132363,0.052856,6.233608
0.020000,4.370339,3.110883,3.708051,1.884243,-0.131162,0.060067,6.241324
0.020000,4.407945,3.109456,3.745684,1.881647,-0.129809,0.067620,6.249214
0.020000,4.445510,3.108330,3.783265,1.879081,-0.128299,0.075502,6.257275
0.020000,4.483032,3.107511,3.820796,1.876548,-0.126626,0.083693,6.265505
0.020000,4.520510,3.107006,3.858277,1.874052,-0.124782,0.092174,6.273901
0.020000,4.557941,3.106818,3.895709,1.871597,-0.122764,0.100918,6.282461
0.020000,4.595325,3.106953,3.933093,1.869186,-0.120566,0.109898,0.007996
0.020000,4.632658,3.107417,3.970429,1.866822,-0.118184,0.119082,0.016874
0.020000,4.669940,3.108214,4.007719,1.864510,-0.115615,0.128436,0.025906
0.020000,4.707168,3.109349,4.044965,1.862253,-0.112857,0.137922,0.035089
0.020000,4.744339,3.110827,4.082166,1.860055,-0.109907,0.147500,0.044418
0.020000,4.781453,3.112652,4.119324,1.857919,-0.106764,0.157127,0.053890
0.020000,4.818506,3.114829,4.156441,1.855848,-0.103561,0.160146,0.063500
0.020000,4.855496,3.117362,4.193518,1.853849,-0.099979,0.179116,0.073242
0.020000,4.892422,3.120254,4.230556,1.851924,-0.096247,0.186618,0.083114
0.020000,4.929280,3.123510,4.267558,1.850077,-0.092353,0.194668,0.093108
0.020000,4.966068,3.127132,4.304524,1.848311,-0.088278,0.203786,0.103220
0.020000,5.002784,3.131125,4.341457,1.846630,-0.084024,0.212670,0.113444
0.020000,5.039426,3.135491,4.378358,1.845038,-0.079599,0.221275,0.123774
0.020000,5.075990,3.140234,4.415228,1.843538,-0.075008,0.229560,0.134205
0.020000,5.112475,3.145355,4.452071,1.842121,-0.070851,0.207846,0.144729
0.020000,5.148878,3.150858,4.488887,1.840809,-0.065610,0.262014,0.155341
0.020000,5.185196,3.156744,4.525679,1.839599,-0.060496,0.255706,0.166034
0.020000,5.221427,3.163016,4.562449,1.838492,-0.055344,0.257616,0.176800
0.020000,5.257568,3.169675,4.599198,1.837479,-0.050649,0.234730,0.187635
0.020000,5.293617,3.176723,4.635930,1.836568,-0.045552,0.254851,0.198529
0.020000,5.329571,3.184161,4.672645,1.835779,-0.039472,0.304035,0.209476
0.020000,5.365428,3.191990,4.709347,1.835091,-0.034371,0.255048,0.220470
0.020000,5.401185,3.200211,4.746037,1.834493,-0.029923,0.222369,0.231503
0.020000,5.436840,3.208825,4.782718,1.834034,-0.022954,0.348477,0.242567
0.020000,5.472390,3.217831,4.819391,1.833656,-0.018900,0.202690,0.253655
0.020000,5.507833,3.227229,4.856059,1.833401,-0.012750,0.307489,0.264761
0.020000,5.543167,3.237020,4.892724,1.833251,-0.007487,0.263171,0.275877
0.020000,5.578388,3.247203,4.929388,1.833201,-0.002520,0.248340,0.286996
0.020000,5.610113,3.256740,4.962515,1.656364,-8.841853,-441.966627,0.296769
0.020000,5.641901,3.266824,4.995864,1.667446,0.554109,469.798080,0.317331
0.020000,5.673958,3.277718,5.029721,1.692860,1.270683,35.828722,0.337805
0.020000,5.705822,3.289277,5.063617,1.694787,0.096354,-58.716451,0.358151
0.020000,5.737492,3.301497,5.097563,1.697306,0.125980,1.481286,0.378328
0.020000,5.768968,3.314374,5.131571,1.700409,0.155150,1.458495,0.398299
