dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.754534,2.747955,2.072781,2.010797,0.130346,0.004626,6.074150
0.020000,2.793929,2.739616,2.113049,2.013407,0.130470,0.006164,6.075044
0.020000,2.833384,2.731305,2.153369,2.016019,0.130622,0.007597,6.076112
0.020000,2.872899,2.723028,2.193742,2.018635,0.130801,0.008986,6.077354
0.020000,2.912476,2.714794,2.234167,2.021255,0.131008,0.010324,6.078771
0.020000,2.952118,2.706608,2.274645,2.023880,0.131240,0.011599,6.080363
0.020000,2.991824,2.698478,2.315175,2.026510,0.131496,0.012805,6.082130
0.020000,3.031597,2.690412,2.355758,2.029145,0.131774,0.013930,6.084073
0.020000,3.071439,2.682416,2.396394,2.031787,0.132074,0.014964,6.086192
0.020000,3.111349,2.674497,2.437082,2.034435,0.132392,0.015898,6.088488
0.020000,3.151331,2.666664,2.477824,2.037089,0.132726,0.016721,6.090961
0.020000,3.191385,2.658923,2.518619,2.039751,0.133075,0.017422,6.093611
0.020000,3.231512,2.651281,2.559468,2.042419,0.133436,0.018075,6.096439
0.020000,3.271714,2.643747,2.600369,2.045096,0.133829,0.019666,6.099445
0.020000,3.311992,2.636328,2.641325,2.047780,0.134176,0.017351,6.102631
0.020000,3.352347,2.629031,2.682334,2.050471,0.134551,0.018756,6.105996
0.020000,3.392780,2.621864,2.723398,2.053169,0.134925,0.018677,6.109540
0.020000,3.433292,2.614835,2.764515,2.055875,0.135293,0.018407,6.113265
0.020000,3.473885,2.607951,2.805687,2.058588,0.135652,0.017932,6.117171
0.020000,3.514558,2.601221,2.846913,2.061308,0.135997,0.017239,6.121258
0.020000,3.555312,2.594652,2.888194,2.064034,0.136323,0.016316,6.125528
0.020000,3.596149,2.588252,2.929529,2.066767,0.136626,0.015150,6.129979
0.020000,3.637069,2.582030,2.970919,2.069505,0.136900,0.013727,6.134613
0.020000,3.678072,2.575993,3.012364,2.072248,0.137141,0.012034,6.139429
0.020000,3.719158,2.570150,3.053864,2.074995,0.137342,0.010060,6.144429
0.020000,3.760329,2.564509,3.095419,2.077745,0.137498,0.007790,6.149612
0.020000,3.801583,2.559077,3.137029,2.080497,0.137602,0.005214,6.154979
0.020000,3.842920,2.553864,3.178694,2.083250,0.137649,0.002318,6.160529
0.020000,3.884341,2.548878,3.220414,2.086002,0.137631,-0.000906,6.166263
0.020000,3.925845,2.544127,3.262189,2.088753,0.137541,-0.004470,6.172180
0.020000,3.967432,2.539619,3.304019,2.091501,0.137374,-0.008384,6.178280
0.020000,4.009100,2.535363,3.345904,2.094243,0.137120,-0.012654,6.184563
0.020000,4.050848,2.531368,3.387844,2.096978,0.136775,-0.017287,6.191029
0.020000,4.092677,2.527642,3.429838,2.099705,0.136329,-0.022290,6.197676
0.020000,4.134584,2.524193,3.471886,2.102421,0.135776,-0.027664,6.204504
0.020000,4.176567,2.521031,3.513989,2.105123,0.135107,-0.033411,6.211513
0.020000,4.218626,2.518162,3.556145,2.107809,0.134317,-0.039531,6.218700
0.020000,4.260757,2.515597,3.598354,2.110477,0.133396,-0.046020,6.226066
0.020000,4.302959,2.513343,3.640617,2.113124,0.132339,-0.052871,6.233608
0.020000,4.345230,2.511408,3.682932,2.115746,0.131137,-0.060076,6.241324
0.020000,4.387567,2.509802,3.725299,2.118342,0.129785,-0.067622,6.249214
0.020000,4.429966,2.508531,3.767717,2.120908,0.128275,-0.075492,6.257275
0.020000,4.472424,2.507605,3.810185,2.123440,0.126602,-0.083669,6.265505
0.020000,4.514939,2.507031,3.852704,2.125935,0.124759,-0.092127,6.273901
0.020000,4.557506,2.506818,3.895272,2.128390,0.122742,-0.100840,6.282461
0.020000,4.600122,2.506972,3.937888,2.130801,0.120547,-0.109776,0.007996
0.020000,4.642782,2.507502,3.980551,2.133164,0.118169,-0.118898,0.016874
0.020000,4.685482,2.508415,4.023261,2.135476,0.115606,-0.128166,0.025906
0.020000,4.728217,2.509718,4.066015,2.137733,0.112855,-0.137534,0.035089
0.020000,4.770982,2.511419,4.108814,2.139932,0.109916,-0.146954,0.044418
0.020000,4.813771,2.513523,4.151655,2.142067,0.106789,-0.156370,0.053890
0.020000,4.856580,2.516039,4.194538,2.144134,0.103321,-0.173373,0.063500
0.020000,4.899402,2.518971,4.237461,2.146131,0.099885,-0.171796,0.073242
0.020000,4.942232,2.522325,4.280422,2.148056,0.096222,-0.183134,0.083114
0.020000,4.985064,2.526109,4.323420,2.149903,0.092354,-0.193440,0.093108
0.020000,5.027890,2.530326,4.366453,2.151669,0.088314,-0.201971,0.103220
0.020000,5.070705,2.534982,4.409520,2.153352,0.084112,-0.210101,0.113444
0.020000,5.113501,2.540081,4.452619,2.154947,0.079757,-0.217754,0.123774
0.020000,5.156271,2.545629,4.495748,2.156452,0.075260,-0.224851,0.134205
0.020000,5.199009,2.551628,4.538905,2.157851,0.069939,-0.266056,0.144729
0.020000,5.241708,2.558082,4.582089,2.159163,0.065594,-0.217243,0.155341
0.020000,5.284359,2.564995,4.625296,2.160379,0.060837,-0.237847,0.166034
0.020000,5.326955,2.572369,4.668526,2.161497,0.055887,-0.247488,0.176800
0.020000,5.369489,2.580206,4.711776,2.162501,0.050190,-0.284863,0.187635
0.020000,5.411953,2.588509,4.755044,2.163397,0.044788,-0.270119,0.198529
0.020000,5.454340,2.597277,4.798328,2.164205,0.040401,-0.219344,0.209476
0.020000,5.496641,2.606514,4.841626,2.164900,0.034751,-0.282517,0.220470
0.020000,5.538849,2.616218,4.884935,2.165465,0.028253,-0.324877,0.231503
0.020000,5.580957,2.626390,4.928255,2.165959,0.024694,-0.177941,0.242567
0.020000,5.622957,2.637030,4.971581,2.166312,0.017691,-0.350159,0.253655
0.020000,5.664841,2.648136,5.014912,2.166576,0.013198,-0.224677,0.264761
0.020000,5.706601,2.659708,5.058247,2.166731,0.007728,-0.273482,0.275877
0.020000,5.748232,2.671744,5.101582,2.166771,0.002014,-0.285694,0.286996
0.020000,5.785572,2.682968,5.140573,1.949532,-10.861983,-543.199837,0.296769
0.020000,5.829120,2.696781,5.186259,2.284292,16.738004,1379.999325,0.317331
0.020000,5.872808,2.711627,5.232400,2.307072,1.139045,-779.947950,0.337805
0.020000,5.916147,2.727349,5.278503,2.305154,-0.095933,-61.748879,0.358151
0.020000,5.959112,2.743927,5.324556,2.302628,-0.126304,-1.518554,0.378328
0.020000,6.001678,2.761341,5.370546,2.299516,-0.155597,-1.464662,0.398299
0.020000,6.043823,2.779567,5.416463,2.295839,-0.183839,-1.412067,0.418025
0.020000,6.085526,2.798581,5.462296,2.291647,-0.209596,-1.287891,0.437470
0.020000,6.126769,2.818354,5.508034,2.286918,-0.236452,-1.342775,0.456600
0.020000,6.167537,2.838859,5.553669,2.281714,-0.260185,-1.186672,0.475384
0.020000,6.207817,2.860066,5.599190,2.276086,-0.281397,-1.060583,0.493791
0.020000,6.247599,2.881945,5.644591,2.270036,-0.302514,-1.055836,0.511796
0.020000,6.286873,2.904464,5.689864,2.263631,-0.320276,-0.888098,0.529373
0.020000,6.325635,2.927593,5.735002,2.256899,-0.336578,-0.815145,0.546502
0.020000,6.363882,2.951299,5.779999,2.249881,-0.350906,-0.716400,0.563163
0.020000,6.401612,2.975551,5.824852,2.242620,-0.363027,-0.606025,0.579339
0.020000,6.438827,3.000319,5.869555,2.235150,-0.373516,-0.524444,0.595017
0.020000,6.475529,3.025570,5.914105,2.227508,-0.382096,-0.429024,0.610186
0.020000,6.511724,3.051277,5.958499,2.219730,-0.388894,-0.339865,0.624836
0.020000,6.547418,3.077408,6.002736,2.211846,-0.394232,-0.266908,0.638960
0.020000,6.582619,3.103935,6.046814,2.203884,-0.398065,-0.191670,0.652554
0.020000,6.617337,3.130832,6.090732,2.195877,-0.400360,-0.114740,0.665613
0.020000,6.651583,3.158070,6.134488,2.187836,-0.402071,-0.085572,0.678137
0.020000,6.685367,3.185624,6.178084,2.179799,-0.401834,0.011888,0.690124
0.020000,6.718703,3.213469,6.221520,2.171770,-0.401429,0.020251,0.701576
0.020000,6.751604,3.241581,6.264795,2.163772,-0.399931,0.074877,0.712495
0.020000,6.784083,3.269938,6.307912,2.155822,-0.397485,0.122293,0.722884
0.020000,6.816156,3.298517,6.350870,2.147918,-0.395203,0.114107,0.732746
0.020000,6.847837,3.327297,6.393672,2.140083,-0.391770,0.171655,0.742085
0.020000,6.879142,3.356258,6.436318,2.132321,-0.388105,0.183235,0.750907
0.020000,6.910085,3.385381,6.478811,2.124627,-0.384656,0.172454,0.759216
0.020000,6.940682,3.414647,6.521151,2.117016,-0.380598,0.202924,0.767017
