dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.219713,3.973423,2.084847,2.243900,-0.846059,1.237461,1.167770
0.020000,2.236871,4.014537,2.129398,2.227553,-0.817321,1.436884,1.182942
0.020000,2.253309,4.055605,2.173633,2.211755,-0.789901,1.371018,1.197060
0.020000,2.269076,4.096608,2.217563,2.196502,-0.762670,1.361568,1.210161
0.020000,2.284223,4.137530,2.261198,2.181781,-0.736047,1.331112,1.222281
0.020000,2.298797,4.178358,2.304550,2.167573,-0.710367,1.284022,1.233453
0.020000,2.312843,4.219081,2.347627,2.153856,-0.685887,1.224020,1.243711
0.020000,2.326405,4.259688,2.390439,2.140600,-0.662802,1.154221,1.253084
0.020000,2.339524,4.300171,2.432994,2.127774,-0.641258,1.077198,1.261603
0.020000,2.352240,4.340522,2.475301,2.115347,-0.621357,0.995048,1.269293
0.020000,2.364591,4.380733,2.517367,2.103284,-0.603178,0.908963,1.276178
0.020000,2.376613,4.420799,2.559198,2.091536,-0.587412,0.788305,1.282281
0.020000,2.388341,4.460714,2.600800,2.080096,-0.571974,0.771895,1.287621
0.020000,2.399808,4.500471,2.642178,2.068915,-0.559057,0.645860,1.292215
0.020000,2.411048,4.540066,2.683337,2.057956,-0.547924,0.556624,1.296079
0.020000,2.422091,4.579492,2.724281,2.047178,-0.538912,0.450623,1.299224
0.020000,2.432967,4.618745,2.765012,2.036560,-0.530896,0.400790,1.301662
0.020000,2.443705,4.657817,2.805533,2.026063,-0.524852,0.302210,1.303399
0.020000,2.454334,4.696704,2.845846,2.015649,-0.520733,0.205943,1.304442
0.020000,2.464881,4.735398,2.885952,2.005285,-0.518190,0.127169,1.304794
0.020000,2.475374,4.773892,2.925851,1.994940,-0.517250,0.046998,1.304457
0.020000,2.485838,4.812179,2.965542,1.984576,-0.518202,-0.047637,1.303429
0.020000,2.496300,4.850251,3.005026,1.974166,-0.520495,-0.114618,1.301706
0.020000,2.506785,4.888099,3.044299,1.963668,-0.524913,-0.220928,1.299284
0.020000,2.517317,4.925714,3.083360,1.953048,-0.530967,-0.302693,1.296154
0.020000,2.527922,4.963084,3.122205,1.942279,-0.538480,-0.375660,1.292306
0.020000,2.538623,5.000198,3.160832,1.931326,-0.547629,-0.457453,1.287727
0.020000,2.549445,5.037045,3.199235,1.920143,-0.559169,-0.576989,1.282404
0.020000,2.560411,5.073610,3.237409,1.908701,-0.572082,-0.645662,1.276317
0.020000,2.571544,5.109879,3.275348,1.896966,-0.586727,-0.732206,1.269449
0.020000,2.582869,5.145836,3.313046,1.884911,-0.602789,-0.803142,1.261776
0.020000,2.594407,5.181464,3.350496,1.872491,-0.620977,-0.909387,1.253276
0.020000,2.606182,5.216744,3.387690,1.859670,-0.641080,-1.005123,1.243921
0.020000,2.618215,5.251657,3.424618,1.846419,-0.662552,-1.073596,1.233682
0.020000,2.630529,5.286181,3.461272,1.832707,-0.685581,-1.151483,1.222530
0.020000,2.643144,5.320293,3.497642,1.818506,-0.710045,-1.223207,1.210431
0.020000,2.656083,5.353969,3.533718,1.803791,-0.735768,-1.286126,1.197352
0.020000,2.669364,5.387183,3.569489,1.788540,-0.762506,-1.336923,1.183255
0.020000,2.683008,5.419907,3.604944,1.772745,-0.789779,-1.363644,1.168107
0.020000,2.697033,5.452114,3.640072,1.756410,-0.816749,-1.348469,1.151868
0.020000,2.711457,5.483774,3.674862,1.739512,-0.844874,-1.406257,1.134503
0.020000,2.726296,5.514854,3.709304,1.722084,-0.871417,-1.327142,1.115978
0.020000,2.741567,5.545326,3.743387,1.704171,-0.895655,-1.211930,1.096258
0.020000,2.757282,5.575156,3.777104,1.685827,-0.917184,-1.076422,1.075314
0.020000,2.773456,5.604312,3.810446,1.667095,-0.936614,-0.971540,1.053124
0.020000,2.790017,5.632629,3.843250,1.640193,-1.345119,-20.425224,1.029784
0.020000,2.806798,5.659816,3.875199,1.597465,-2.136401,-39.564113,1.005556
0.020000,2.823695,5.685742,3.906145,1.547328,-2.506827,-18.521273,0.980631
0.020000,2.840683,5.710425,3.936110,1.498214,-2.455729,2.554859,0.955098
0.020000,2.857742,5.733890,3.965120,1.450492,-2.386054,3.483781,0.929050
0.020000,2.874848,5.756165,3.993205,1.404269,-2.311176,3.743885,0.902587
0.020000,2.891978,5.777283,4.020398,1.359634,-2.231756,3.971002,0.875816
0.020000,2.909110,5.797281,4.046731,1.316649,-2.149246,4.125481,0.848845
0.020000,2.926223,5.816196,4.072237,1.275344,-2.065252,4.199743,0.821787
0.020000,2.943293,5.834068,4.096952,1.235725,-1.980944,4.215368,0.794755
0.020000,2.960300,5.850938,4.120907,1.197759,-1.898319,4.131259,0.767858
0.020000,2.977223,5.866849,4.144135,1.161392,-1.818308,4.000554,0.741204
0.020000,2.994041,5.881842,4.166666,1.126539,-1.742649,3.782958,0.714892
0.020000,3.010734,5.895959,4.188528,1.093095,-1.672231,3.520879,0.689017
0.020000,3.027282,5.909240,4.209746,1.060927,-1.608382,3.192438,0.663665
0.020000,3.043663,5.921728,4.230344,1.029914,-1.550667,2.885753,0.638909
0.020000,3.059858,5.933458,4.250341,0.999844,-1.503486,2.359084,0.614819
0.020000,3.075846,5.944469,4.269755,0.970659,-1.459249,2.211813,0.591448
0.020000,3.091606,5.954798,4.288598,0.942151,-1.425396,1.692663,0.568843
0.020000,3.107118,5.964478,4.306882,0.914200,-1.397577,1.390954,0.547040
0.020000,3.122359,5.973542,4.324614,0.886626,-1.378660,0.945841,0.526067
0.020000,3.137309,5.982023,4.341802,0.859388,-1.361916,0.837218,0.505943
0.020000,3.151946,5.989949,4.358448,0.832289,-1.354972,0.347211,0.486679
0.020000,3.166250,5.997350,4.374553,0.805257,-1.351577,0.169713,0.468282
0.020000,3.180201,6.004253,4.390118,0.778246,-1.350559,0.050920,0.450750
0.020000,3.193778,6.010684,4.405141,0.751168,-1.353896,-0.166846,0.434078
0.020000,3.206962,6.016669,4.419620,0.723948,-1.361005,-0.355438,0.418256
0.020000,3.219733,6.022231,4.433550,0.696506,-1.372114,-0.555480,0.403274
0.020000,3.232074,6.027393,4.446927,0.668840,-1.383289,-0.558715,0.389116
